DOB,AGE,DATE,population,Cumulative,Rank
12/31/2013,1,1/1/2014,370387,370387,185193.4388
12/30/2013,2,1/1/2014,370387,740774,555580.3165
12/29/2013,3,1/1/2014,370387,1111161,925967.1942
12/28/2013,4,1/1/2014,370387,1481548,1296354.072
12/27/2013,5,1/1/2014,370387,1851934,1666740.949
12/26/2013,6,1/1/2014,370387,2222321,2037127.827
12/25/2013,7,1/1/2014,370387,2592708,2407514.705
12/24/2013,8,1/1/2014,370387,2963095,2777901.582
12/23/2013,9,1/1/2014,370387,3333482,3148288.46
12/22/2013,10,1/1/2014,370387,3703869,3518675.338
12/21/2013,11,1/1/2014,370387,4074256,3889062.215
12/20/2013,12,1/1/2014,370387,4444643,4259449.093
12/19/2013,13,1/1/2014,370387,4815029,4629835.971
12/18/2013,14,1/1/2014,370387,5185416,5000222.848
12/17/2013,15,1/1/2014,370387,5555803,5370609.726
12/16/2013,16,1/1/2014,370387,5926190,5740996.604
12/15/2013,17,1/1/2014,370387,6296577,6111383.481
12/14/2013,18,1/1/2014,370387,6666964,6481770.359
12/13/2013,19,1/1/2014,370387,7037351,6852157.237
12/12/2013,20,1/1/2014,370387,7407738,7222544.114
12/11/2013,21,1/1/2014,370387,7778124,7592930.992
12/10/2013,22,1/1/2014,370387,8148511,7963317.87
12/9/2013,23,1/1/2014,370387,8518898,8333704.747
12/8/2013,24,1/1/2014,370387,8889285,8704091.625
12/7/2013,25,1/1/2014,370387,9259672,9074478.503
12/6/2013,26,1/1/2014,370387,9630059,9444865.38
12/5/2013,27,1/1/2014,370387,10000446,9815252.258
12/4/2013,28,1/1/2014,370387,10370833,10185639.14
12/3/2013,29,1/1/2014,370387,10741219,10556026.01
12/2/2013,30,1/1/2014,370387,11111606,10926412.89
12/1/2013,31,1/1/2014,370387,11481993,11296799.77
11/30/2013,32,1/1/2014,370387,11852380,11667186.65
11/29/2013,33,1/1/2014,370387,12222767,12037573.52
11/28/2013,34,1/1/2014,370387,12593154,12407960.4
11/27/2013,35,1/1/2014,370387,12963541,12778347.28
11/26/2013,36,1/1/2014,370387,13333928,13148734.16
11/25/2013,37,1/1/2014,370387,13704314,13519121.03
11/24/2013,38,1/1/2014,370387,14074701,13889507.91
11/23/2013,39,1/1/2014,370387,14445088,14259894.79
11/22/2013,40,1/1/2014,370387,14815475,14630281.67
11/21/2013,41,1/1/2014,370387,15185862,15000668.55
11/20/2013,42,1/1/2014,370387,15556249,15371055.42
11/19/2013,43,1/1/2014,370387,15926636,15741442.3
11/18/2013,44,1/1/2014,370387,16297023,16111829.18
11/17/2013,45,1/1/2014,370387,16667409,16482216.06
11/16/2013,46,1/1/2014,370387,17037796,16852602.93
11/15/2013,47,1/1/2014,370387,17408183,17222989.81
11/14/2013,48,1/1/2014,370387,17778570,17593376.69
11/13/2013,49,1/1/2014,370387,18148957,17963763.57
11/12/2013,50,1/1/2014,370387,18519344,18334150.44
11/11/2013,51,1/1/2014,370387,18889731,18704537.32
11/10/2013,52,1/1/2014,370387,19260118,19074924.2
11/9/2013,53,1/1/2014,370387,19630505,19445311.08
11/8/2013,54,1/1/2014,370387,20000891,19815697.96
11/7/2013,55,1/1/2014,370387,20371278,20186084.83
11/6/2013,56,1/1/2014,370387,20741665,20556471.71
11/5/2013,57,1/1/2014,370387,21112052,20926858.59
11/4/2013,58,1/1/2014,370387,21482439,21297245.47
11/3/2013,59,1/1/2014,370387,21852826,21667632.34
11/2/2013,60,1/1/2014,370387,22223213,22038019.22
11/1/2013,61,1/1/2014,370387,22593600,22408406.1
10/31/2013,62,1/1/2014,370387,22963986,22778792.98
10/30/2013,63,1/1/2014,370387,23334373,23149179.85
10/29/2013,64,1/1/2014,370387,23704760,23519566.73
10/28/2013,65,1/1/2014,370387,24075147,23889953.61
10/27/2013,66,1/1/2014,370387,24445534,24260340.49
10/26/2013,67,1/1/2014,370387,24815921,24630727.36
10/25/2013,68,1/1/2014,370387,25186308,25001114.24
10/24/2013,69,1/1/2014,370387,25556695,25371501.12
10/23/2013,70,1/1/2014,370387,25927081,25741888
10/22/2013,71,1/1/2014,370387,26297468,26112274.88
10/21/2013,72,1/1/2014,370387,26667855,26482661.75
10/20/2013,73,1/1/2014,370387,27038242,26853048.63
10/19/2013,74,1/1/2014,370387,27408629,27223435.51
10/18/2013,75,1/1/2014,370387,27779016,27593822.39
10/17/2013,76,1/1/2014,370387,28149403,27964209.26
10/16/2013,77,1/1/2014,370387,28519790,28334596.14
10/15/2013,78,1/1/2014,370387,28890176,28704983.02
10/14/2013,79,1/1/2014,370387,29260563,29075369.9
10/13/2013,80,1/1/2014,370387,29630950,29445756.77
10/12/2013,81,1/1/2014,370387,30001337,29816143.65
10/11/2013,82,1/1/2014,370387,30371724,30186530.53
10/10/2013,83,1/1/2014,370387,30742111,30556917.41
10/9/2013,84,1/1/2014,370387,31112498,30927304.29
10/8/2013,85,1/1/2014,370387,31482885,31297691.16
10/7/2013,86,1/1/2014,370387,31853271,31668078.04
10/6/2013,87,1/1/2014,370387,32223658,32038464.92
10/5/2013,88,1/1/2014,370387,32594045,32408851.8
10/4/2013,89,1/1/2014,370387,32964432,32779238.67
10/3/2013,90,1/1/2014,370387,33334819,33149625.55
10/2/2013,91,1/1/2014,370387,33705206,33520012.43
10/1/2013,92,1/1/2014,370387,34075593,33890399.31
9/30/2013,93,1/1/2014,370387,34445980,34260786.18
9/29/2013,94,1/1/2014,370387,34816367,34631173.06
