GMI_CNTRY,POPIO_NAME,POINT_X,POINT_Y,CONTINENT,POPIO_NAME_ES
AFG,Afghanistan,66.02647078160,33.83880563220,Asia,Afganist‡n
ALB,Albania,20.06838416820,41.14228606650,Europe,Albania
DZA,Algeria,2.63238848323,28.16323953590,Africa,Algeria
AGO,Angola,17.57269427250,-12.33527602480,Africa,Angola
ATG,Antigua and Barbuda,-61.78530823230,17.07146759370,North America,Antigua y Barbuda
EGY,Arab Rep of Egypt,29.87195800070,26.49425412720,Africa,Egipto
ARG,Argentina,-65.14430529880,-35.17768202880,South America,Argentina
ARM,Armenia,44.94682641330,40.28661994550,Asia,Armenia
ABW,Aruba,-69.97564014280,12.51562572300,North America,Aruba
AUS,Australia,134.35354772800,-25.57432340690,Oceania,Australia
AUT,Austria,14.14019116250,47.59290286120,Europe,Austria
AZE,Azerbaijan,50.01349322040,40.39075639860,Asia,Azerbaiy‡n
BHR,Bahrain,50.54321196790,26.04034442120,Asia,Bahrain
BGD,Bangladesh,89.20024058060,23.93403296970,Asia,Bangladesh
BRB,Barbados,-59.56195470060,13.17871448300,North America,Barbados
BLR,Belarus,28.04678764690,53.53999772680,Europe,Bielorrusia
BEL,Belgium,4.66398728384,50.64285190080,Europe,BŽlgica
BLZ,Belize,-88.69589801620,17.20999700250,North America,Belice
BEN,Benin,2.34313461826,9.64731894700,Africa,Ben’n
BTN,Bhutan,90.42943322850,27.41541449280,Asia,But‡n
BOL,Bolivia,-64.67093196810,-16.71461014380,South America,Bolivia
BIH,Bosnia and Herzegovina,17.78653087560,44.16811541280,Europe,Bosnia-Herzegovina
BWA,Botswana,23.81502777870,-22.18200337550,Africa,Botswana
BRA,Brazil,-53.11221187900,-10.83493505820,South America,Brasil
BRN,Brunei Darussalam,114.59934131300,4.41717162603,Asia,Brunei Darussalam
BGR,Bulgaria,25.23150640510,42.76137676270,Europe,Bulgaria
BFA,Burkina Faso,-1.74014091747,12.27792937900,Africa,Burkina Faso
BDI,Burundi,29.88714596890,-3.35617434585,Africa,Burundi
CPV,Cabo Verde,-23.63482158500,15.07160079640,Africa,Cabo Verde
KHM,Cambodia,104.92398195200,12.71643178490,Asia,Camboya
CMR,Cameroon,12.74359411690,5.68595228558,Africa,Camerœn
CAN,Canada,-101.65578565900,57.71473755360,North America,Canad‡
CAF,Central African Republic,20.93930470130,7.00177498811,Africa,Repœblica Centroafricana
TCD,Chad,18.66447909360,15.36116632060,Africa,Chad
CHL,Chile,-71.25498512970,-35.50880794160,South America,Chile
CHN,China,104.19425421800,32.31950786540,Asia,China
COL,Colombia,-73.07179261240,3.90105256742,South America,Colombia
