country_popio,sex,age,smoker_lose_wrtall%,nonsmoker_gain_wrtall%
Afghanistan,Males,5,-0.11,0.02
Afghanistan,Males,10,-0.12,0.03
Afghanistan,Males,15,-0.13,0.03
Afghanistan,Males,20,-0.15,0.03
Afghanistan,Males,25,-0.16,0.04
Afghanistan,Males,30,-0.18,0.04
Afghanistan,Males,35,-0.21,0.05
Afghanistan,Males,40,-0.24,0.05
Afghanistan,Males,45,-0.27,0.06
Afghanistan,Males,50,-0.30,0.06
Afghanistan,Males,55,-0.34,0.07
Afghanistan,Males,60,-0.37,0.07
Afghanistan,Males,65,-0.38,0.07
Afghanistan,Males,70,-0.39,0.06
Afghanistan,Males,75,-0.40,0.06
Afghanistan,Males,80,-0.33,0.05
Afghanistan,Females,5,-0.19,0.01
Afghanistan,Females,10,-0.21,0.01
Afghanistan,Females,15,-0.23,0.02
Afghanistan,Females,20,-0.25,0.02
Afghanistan,Females,25,-0.28,0.02
Afghanistan,Females,30,-0.32,0.02
Afghanistan,Females,35,-0.35,0.03
Afghanistan,Females,40,-0.39,0.03
Afghanistan,Females,45,-0.43,0.03
Afghanistan,Females,50,-0.49,0.04
Afghanistan,Females,55,-0.52,0.04
Afghanistan,Females,60,-0.56,0.04
Afghanistan,Females,65,-0.53,0.04
Afghanistan,Females,70,-0.50,0.04
Afghanistan,Females,75,-0.53,0.03
Afghanistan,Females,80,-0.37,0.02
Afghanistan,Both sexes,5,-0.10,0.04
Afghanistan,Both sexes,10,-0.10,0.04
Afghanistan,Both sexes,15,-0.11,0.05
Afghanistan,Both sexes,20,-0.12,0.05
Afghanistan,Both sexes,25,-0.14,0.06
Afghanistan,Both sexes,30,-0.15,0.06
Afghanistan,Both sexes,35,-0.17,0.07
Afghanistan,Both sexes,40,-0.20,0.08
Afghanistan,Both sexes,45,-0.23,0.09
Afghanistan,Both sexes,50,-0.26,0.10
Afghanistan,Both sexes,55,-0.29,0.11
Afghanistan,Both sexes,60,-0.32,0.11
Afghanistan,Both sexes,65,-0.33,0.11
Afghanistan,Both sexes,70,-0.34,0.11
Afghanistan,Both sexes,75,-0.35,0.10
Afghanistan,Both sexes,80,-0.33,0.09
NA,Males,5,-0.65,0.01
NA,Males,10,-0.70,0.01
NA,Males,15,-0.76,0.01
NA,Males,20,-0.82,0.02
NA,Males,25,-0.90,0.02
NA,Males,30,-1.00,0.02
NA,Males,35,-1.00,0.02
NA,Males,40,-1.00,0.02
NA,Males,45,-1.00,0.03
NA,Males,50,-1.00,0.03
NA,Males,55,-1.00,0.03
NA,Males,60,-1.00,0.03
NA,Males,65,-1.00,0.04
NA,Males,70,-1.00,0.04
NA,Males,75,-1.00,0.04
NA,Males,80,-1.00,0.05
NA,Females,5,-0.66,0.00
NA,Females,10,-0.70,0.01
NA,Females,15,-0.76,0.01
NA,Females,20,-0.83,0.01
NA,Females,25,-0.90,0.01
NA,Females,30,-1.00,0.01
NA,Females,35,-1.00,0.01
NA,Females,40,-1.00,0.01
NA,Females,45,-1.00,0.01
NA,Females,50,-1.00,0.01
NA,Females,55,-1.00,0.01
NA,Females,60,-1.00,0.02
NA,Females,65,-1.00,0.02
NA,Females,70,-1.00,0.02
NA,Females,75,-1.00,0.02
NA,Females,80,-1.00,0.03
NA,Both sexes,5,-0.65,0.02
NA,Both sexes,10,-0.70,0.02
NA,Both sexes,15,-0.75,0.02
NA,Both sexes,20,-0.82,0.03
NA,Both sexes,25,-0.90,0.03
