"country_popio","region","age_name","sex","pc_mean","agegr"
"China","East Asia","30-34 years","Males",0.0822679,"30"
"China","East Asia","35-39 years","Males",0.101915,"35"
"China","East Asia","40-44 years","Males",0.145525,"40"
"China","East Asia","45-49 years","Males",0.171976,"45"
"China","East Asia","50-54 years","Males",0.194642,"50"
"China","East Asia","55-59 years","Males",0.220859,"55"
"China","East Asia","60-64 years","Males",0.241412,"60"
"China","East Asia","65-69 years","Males",0.242597,"65"
"China","East Asia","70-74 years","Males",0.230393,"70"
"China","East Asia","75-79 years","Males",0.20778,"75"
"China","East Asia","80+ years","Males",0.141122,"80"
"China","East Asia","50-69 years","Males",0.226113,"50"
"China","East Asia","70+ years","Males",0.199348,"70"
"China","East Asia","30-34 years","Females",0.00831554,"30"
"China","East Asia","35-39 years","Females",0.0190511,"35"
"China","East Asia","40-44 years","Females",0.0430099,"40"
"China","East Asia","45-49 years","Females",0.0400212,"45"
"China","East Asia","50-54 years","Females",0.0560273,"50"
"China","East Asia","55-59 years","Females",0.0789253,"55"
"China","East Asia","60-64 years","Females",0.080462,"60"
"China","East Asia","65-69 years","Females",0.0970311,"65"
"China","East Asia","70-74 years","Females",0.120176,"70"
"China","East Asia","75-79 years","Females",0.113159,"75"
"China","East Asia","80+ years","Females",0.0984047,"80"
"China","East Asia","50-69 years","Females",0.079357,"50"
"China","East Asia","70+ years","Females",0.109937,"70"
"China","East Asia","30-34 years","Both sexes",0.0607078,"30"
"China","East Asia","35-39 years","Both sexes",0.0763379,"35"
"China","East Asia","40-44 years","Both sexes",0.112331,"40"
"China","East Asia","45-49 years","Both sexes",0.127777,"45"
"China","East Asia","50-54 years","Both sexes",0.14908,"50"
"China","East Asia","55-59 years","Both sexes",0.175108,"55"
"China","East Asia","60-64 years","Both sexes",0.188022,"60"
"China","East Asia","65-69 years","Both sexes",0.192814,"65"
"China","East Asia","70-74 years","Both sexes",0.189852,"70"
"China","East Asia","75-79 years","Both sexes",0.168364,"75"
